"Computer","OSType","LastHeartbeat","Status"
"DDA-AD.minishar.com","Windows","3/2/2026 10:05:12 AM","ACTIVE"
"LFN9","Windows","3/2/2026 10:05:12 AM","ACTIVE"
"ProxyTest3","Windows","3/2/2026 10:05:06 AM","ACTIVE"
"Security-Adviso","Windows","3/2/2026 10:04:55 AM","ACTIVE"
"STC-Corp.paramountassure.ltd","Windows","3/2/2026 10:04:51 AM","ACTIVE"
"InformationSecu","Windows","3/2/2026 10:04:35 AM","ACTIVE"
"acer","Windows","3/2/2026 10:04:06 AM","ACTIVE"
"WIN-DA8BSDJ5R6S","Windows","2/19/2026 7:56:07 PM","STALE"
"PCS-ActiveDirec.pcsassure.me","Windows","2/17/2026 6:30:44 PM","STALE"
"AnushCEF1","Linux","1/28/2026 4:31:07 PM","STALE"
"WIN-KSQFA5QID58","Windows","1/18/2026 4:31:43 PM","STALE"
"dontdeleteme3","Linux","1/18/2026 12:48:42 PM","STALE"
"n8n-Automation","Linux","1/5/2026 5:31:18 PM","STALE"
"EcomApp","Windows","12/30/2025 7:59:53 PM","STALE"
"EMARAT","Windows","12/17/2025 6:08:40 AM","STALE"
"DataSecurity","Windows","12/17/2025 6:06:47 AM","STALE"
"Kuttuz_96","Windows","12/12/2025 6:44:19 AM","STALE"
"DESKTOP-3QIS5IG","Windows","12/9/2025 6:49:40 AM","STALE"
